"Origin","Date","Price","Units"
"belize",2021-01-10,0.86,"£/kg"
"costa_rica",2021-01-10,0.87,"£/kg"
"ivory_coast",2021-01-10,0.73,"£/kg"
"acp_bananas",2021-01-10,0.81,"£/kg"
"dollar_bananas",2021-01-10,0.87,"£/kg"
"all_bananas",2021-01-10,0.84,"£/kg"
"belize",2020-12-17,0.66,"£/kg"
"colombia",2020-12-17,0.69,"£/kg"
"costa_rica",2020-12-17,0.7,"£/kg"
"ecuador",2020-12-17,0.68,"£/kg"
"ivory_coast",2020-12-17,0.68,"£/kg"
"panama",2020-12-17,0.71,"£/kg"
"guatemala",2020-12-17,0.68,"£/kg"
"acp_bananas",2020-12-17,0.67,"£/kg"
"dollar_bananas",2020-12-17,0.69,"£/kg"
"all_bananas",2020-12-17,0.69,"£/kg"
"belize",2020-12-10,0.66,"£/kg"
"costa_rica",2020-12-10,0.7,"£/kg"
"ecuador",2020-12-10,0.65,"£/kg"
"ivory_coast",2020-12-10,0.68,"£/kg"
"panama",2020-12-10,0.79,"£/kg"
"guatemala",2020-12-10,0.68,"£/kg"
"acp_bananas",2020-12-10,0.67,"£/kg"
"dollar_bananas",2020-12-10,0.69,"£/kg"
"all_bananas",2020-12-10,0.69,"£/kg"
"costa_rica",2020-12-03,0.67,"£/kg"
"ecuador",2020-12-03,0.62,"£/kg"
"panama",2020-12-03,0.79,"£/kg"
"dollar_bananas",2020-12-03,0.66,"£/kg"
"all_bananas",2020-12-03,0.66,"£/kg"
"belize",2020-11-26,0.58,"£/kg"
"costa_rica",2020-11-26,0.7,"£/kg"
"ecuador",2020-11-26,0.65,"£/kg"
"panama",2020-11-26,0.79,"£/kg"
"guatemala",2020-11-26,0.57,"£/kg"
"acp_bananas",2020-11-26,0.58,"£/kg"
"dollar_bananas",2020-11-26,0.67,"£/kg"
"all_bananas",2020-11-26,0.66,"£/kg"
"belize",2020-11-19,0.58,"£/kg"
"costa_rica",2020-11-19,0.69,"£/kg"
"ecuador",2020-11-19,0.65,"£/kg"
"mexico",2020-11-19,0.54,"£/kg"
"panama",2020-11-19,0.73,"£/kg"
"guatemala",2020-11-19,0.57,"£/kg"
"acp_bananas",2020-11-19,0.58,"£/kg"
"dollar_bananas",2020-11-19,0.65,"£/kg"
"all_bananas",2020-11-19,0.64,"£/kg"
"belize",2020-11-12,0.48,"£/kg"
"colombia",2020-11-12,0.5,"£/kg"
"costa_rica",2020-11-12,0.69,"£/kg"
"ecuador",2020-11-12,0.6,"£/kg"
"guatemala",2020-11-12,0.53,"£/kg"
"acp_bananas",2020-11-12,0.48,"£/kg"
"dollar_bananas",2020-11-12,0.6,"£/kg"
"all_bananas",2020-11-12,0.59,"£/kg"
"belize",2020-11-05,0.48,"£/kg"
"colombia",2020-11-05,0.5,"£/kg"
"costa_rica",2020-11-05,0.75,"£/kg"
"ecuador",2020-11-05,0.62,"£/kg"
"ivory_coast",2020-11-05,0.44,"£/kg"
"guatemala",2020-11-05,0.53,"£/kg"
"acp_bananas",2020-11-05,0.47,"£/kg"
"dollar_bananas",2020-11-05,0.62,"£/kg"
"all_bananas",2020-11-05,0.59,"£/kg"
"belize",2020-10-29,0.48,"£/kg"
"colombia",2020-10-29,0.5,"£/kg"
"costa_rica",2020-10-29,0.74,"£/kg"
"dominican_republic",2020-10-29,0.36,"£/kg"
"ecuador",2020-10-29,0.55,"£/kg"
"ivory_coast",2020-10-29,0.44,"£/kg"
"guatemala",2020-10-29,0.52,"£/kg"
"acp_bananas",2020-10-29,0.44,"£/kg"
"dollar_bananas",2020-10-29,0.59,"£/kg"
"all_bananas",2020-10-29,0.52,"£/kg"
"belize",2020-10-22,0.48,"£/kg"
"colombia",2020-10-22,0.46,"£/kg"
"costa_rica",2020-10-22,0.74,"£/kg"
"dominican_republic",2020-10-22,0.42,"£/kg"
"ecuador",2020-10-22,0.55,"£/kg"
"ivory_coast",2020-10-22,0.44,"£/kg"
"guatemala",2020-10-22,0.57,"£/kg"
"acp_bananas",2020-10-22,0.45,"£/kg"
"dollar_bananas",2020-10-22,0.6,"£/kg"
