item,variety,date,price,unit
apples,bramleys_seedling,2021-01-10,1.15,kg
apples,coxs_orange_group,2021-01-10,1.2,kg
apples,egremont_russet,2021-01-10,1.71,kg
apples,braeburn,2021-01-10,0.96,kg
apples,gala,2021-01-10,0.96,kg
apples,other_late_season,2021-01-10,1.01,kg
pears,conference,2021-01-10,1,kg
pears,doyenne_du_comice,2021-01-10,0.95,kg
beetroot,beetroot,2021-01-10,0.46,kg
brussels_sprouts,brussels_sprouts,2021-01-10,0.84,kg
pak_choi,pak_choi,2021-01-10,2.68,kg
curly_kale,curly_kale,2021-01-10,2.79,kg
cabbage,red,2021-01-10,0.35,kg
cabbage,savoy,2021-01-10,0.47,head
spring_greens,prepacked,2021-01-10,0.97,kg
cabbage,white,2021-01-10,0.35,kg
cabbage,round_green_other,2021-01-10,0.52,head
carrots,topped_washed,2021-01-10,0.47,kg
cauliflower,all,2021-01-10,1.03,head
celeriac,celeriac,2021-01-10,0.66,kg
chinese_leaf,chinese_leaf,2021-01-10,0.99,kg
leeks,trimmed,2021-01-10,1.38,kg
lettuce,butterhead_indoor,2021-01-10,0.45,head
lettuce,little_gem,2021-01-10,0.78,twin
onion,bulb_brown,2021-01-10,0.4,kg
onion,bulb_red,2021-01-10,0.53,kg
swede,swede,2021-01-10,0.22,kg
turnip,turnip,2021-01-10,1.69,kg
parsnips,all_varieties,2021-01-10,1.03,kg
tulips,tulips,2021-01-10,0.23,stem
apples,bramleys_seedling,2020-12-18,1.07,kg
apples,coxs_orange_group,2020-12-18,1.03,kg
apples,egremont_russet,2020-12-18,1.52,kg
apples,braeburn,2020-12-18,0.91,kg
apples,gala,2020-12-18,0.94,kg
apples,other_late_season,2020-12-18,0.99,kg
pears,conference,2020-12-18,0.89,kg
pears,doyenne_du_comice,2020-12-18,0.9,kg
strawberries,strawberries,2020-12-18,5,kg
beetroot,beetroot,2020-12-18,0.47,kg
brussels_sprouts,brussels_sprouts,2020-12-18,0.82,kg
pak_choi,pak_choi,2020-12-18,2.61,kg
curly_kale,curly_kale,2020-12-18,2.78,kg
cabbage,red,2020-12-18,0.38,kg
cabbage,savoy,2020-12-18,0.52,head
spring_greens,prepacked,2020-12-18,0.91,kg
cabbage,white,2020-12-18,0.38,kg
cabbage,round_green_other,2020-12-18,0.51,head
carrots,topped_washed,2020-12-18,0.46,kg
cauliflower,all,2020-12-18,0.65,head
celery,all_washed,2020-12-18,0.67,kg
celeriac,celeriac,2020-12-18,0.75,kg
chinese_leaf,chinese_leaf,2020-12-18,0.98,kg
leeks,trimmed,2020-12-18,1.18,kg
lettuce,butterhead_indoor,2020-12-18,0.39,head
lettuce,little_gem,2020-12-18,0.78,twin
onion,bulb_brown,2020-12-18,0.38,kg
onion,bulb_red,2020-12-18,0.52,kg
swede,swede,2020-12-18,0.22,kg
turnip,turnip,2020-12-18,1.17,kg
parsnips,all_varieties,2020-12-18,0.95,kg
tulips,tulips,2020-12-18,0.22,stem
apples,bramleys_seedling,2020-12-11,1.04,kg
apples,coxs_orange_group,2020-12-11,1.03,kg
apples,egremont_russet,2020-12-11,1.44,kg
apples,braeburn,2020-12-11,0.87,kg
apples,gala,2020-12-11,0.94,kg
apples,other_late_season,2020-12-11,0.94,kg
pears,conference,2020-12-11,0.87,kg
pears,doyenne_du_comice,2020-12-11,0.92,kg
pears,other,2020-12-11,0.67,kg
beetroot,beetroot,2020-12-11,0.46,kg
brussels_sprouts,brussels_sprouts,2020-12-11,0.81,kg
pak_choi,pak_choi,2020-12-11,2.6,kg
curly_kale,curly_kale,2020-12-11,2.75,kg
cabbage,red,2020-12-11,0.39,kg
cabbage,savoy,2020-12-11,0.5,head
spring_greens,prepacked,2020-12-11,0.82,kg
cabbage,white,2020-12-11,0.36,kg
cabbage,round_green_other,2020-12-11,0.48,head
carrots,topped_washed,2020-12-11,0.46,kg
cauliflower,all,2020-12-11,0.71,head
celery,all_washed,2020-12-11,0.61,kg
celeriac,celeriac,2020-12-11,0.75,kg
chinese_leaf,chinese_leaf,2020-12-11,0.99,kg
leeks,trimmed,2020-12-11,1.18,kg
lettuce,butterhead_indoor,2020-12-11,0.39,head
lettuce,little_gem,2020-12-11,0.73,twin
onion,bulb_brown,2020-12-11,0.39,kg
onion,bulb_red,2020-12-11,0.52,kg
swede,swede,2020-12-11,0.21,kg
turnip,turnip,2020-12-11,1.13,kg
parsnips,all_varieties,2020-12-11,0.92,kg
tulips,tulips,2020-12-11,0.22,stem
apples,bramleys_seedling,2020-12-04,1.04,kg
apples,coxs_orange_group,2020-12-04,1.02,kg
apples,egremont_russet,2020-12-04,1.4,kg
apples,braeburn,2020-12-04,0.86,kg
apples,gala,2020-12-04,0.93,kg
apples,other_late_season,2020-12-04,0.97,kg
pears,conference,2020-12-04,0.84,kg
pears,doyenne_du_comice,2020-12-04,1.03,kg
pears,other,2020-12-04,0.67,kg
beetroot,beetroot,2020-12-04,0.47,kg
brussels_sprouts,brussels_sprouts,2020-12-04,0.81,kg
pak_choi,pak_choi,2020-12-04,2.64,kg
curly_kale,curly_kale,2020-12-04,2.84,kg
cabbage,red,2020-12-04,0.38,kg
cabbage,savoy,2020-12-04,0.5,head
spring_greens,prepacked,2020-12-04,0.8,kg
cabbage,white,2020-12-04,0.36,kg
cabbage,round_green_other,2020-12-04,0.48,head
carrots,topped_washed,2020-12-04,0.46,kg
cauliflower,all,2020-12-04,0.5,head
celery,all_washed,2020-12-04,0.65,kg
celeriac,celeriac,2020-12-04,0.75,kg
chinese_leaf,chinese_leaf,2020-12-04,0.98,kg
leeks,trimmed,2020-12-04,1.16,kg
lettuce,butterhead_indoor,2020-12-04,0.39,head
lettuce,little_gem,2020-12-04,0.73,twin
onion,bulb_brown,2020-12-04,0.38,kg
onion,bulb_red,2020-12-04,0.49,kg
swede,swede,2020-12-04,0.21,kg
